Month-Year,Stock Name,Week,Percentage Change
Jun-2023,5PAISA.NS,24,-3.511309836927924
Jun-2023,5PAISA.NS,25,-2.23890601957366
Jun-2023,5PAISA.NS,26,-1.8352421691734604
Mar-2023,63MOONS.NS,13,6.042296072507553
Mar-2023,63MOONS.NS,14,-1.660101294316257
Apr-2023,63MOONS.NS,15,-5.020463847203268
Apr-2023,63MOONS.NS,16,2.3428232502965702
Apr-2023,63MOONS.NS,17,0.5995203836930456
Apr-2023,63MOONS.NS,18,3.3353547604608855
May-2023,63MOONS.NS,19,0.9436744323208459
May-2023,63MOONS.NS,20,1.0979485697775078
May-2023,63MOONS.NS,21,-4.329004329004329
May-2023,63MOONS.NS,22,-7.120478496154941
May-2023,63MOONS.NS,23,4.747225647348962
Jun-2023,63MOONS.NS,23,-0.7494004796163068
Jun-2023,63MOONS.NS,24,1.3930950938825024
Jun-2023,63MOONS.NS,25,1.2051734273956565
Jun-2023,63MOONS.NS,26,18.264438581061256
Mar-2023,A2ZINFRA.NS,13,-5.3435114503816745
Mar-2023,A2ZINFRA.NS,14,15.789473684210517
Apr-2023,A2ZINFRA.NS,15,3.7037037037037033
Apr-2023,A2ZINFRA.NS,16,4.379562043795631
Apr-2023,A2ZINFRA.NS,17,-7.971014492753634
Apr-2023,A2ZINFRA.NS,18,2.362204724409455
May-2023,A2ZINFRA.NS,19,2.325581395348829
May-2023,A2ZINFRA.NS,20,3.90625
May-2023,A2ZINFRA.NS,21,4.5454545454545565
May-2023,A2ZINFRA.NS,22,-2.272727272727265
May-2023,A2ZINFRA.NS,23,24.218749999999996
Jun-2023,A2ZINFRA.NS,23,0.621118012422347
Jun-2023,A2ZINFRA.NS,24,5.806451612903216
Jun-2023,A2ZINFRA.NS,25,-6.0606060606060606
Jun-2023,A2ZINFRA.NS,26,-3.1847133757961785
Mar-2023,AAATECH.NS,13,-4.30769230769231
Mar-2023,AAATECH.NS,14,-3.4482758620689746
Apr-2023,AAATECH.NS,15,3.1880977683315623
