stock,Price at Start,Price at End,Percentage Change
JITFINFRA.NS,137.3999939,287.0499878,108.9155754
SERVOTECH.NS,66.5,136.6499939,105.4887126
BCG.NS,12.35000038,23.64999962,91.4979667
NUCLEUS.NS,612.0499878,1128.650024,84.40487655
IZMO.NS,134.8500061,246.6000061,82.86985164
HARDWYN.NS,27.84749985,50,79.54933216
GANGAFORGE.NS,3.799999952,6.75,77.63158118
MAANALU.NS,182.4499969,321.2000122,76.04824203
INDOTECH.NS,201.8000031,350.7999878,73.835472
SUZLON.NS,8.350000381,14,67.664663
