stock,Price at Start,Price at End,Percentage Change
URAVI.NS,151.5,226,49.17491749
VSCL.NS,28,33.95000076,21.25000272
THEJO.NS,1549.5,1725,11.32623427
CONTI.NS,17.14999962,18.95000076,10.49563373
PASHUPATI.NS,100,107,7
RELIABLE.NS,58.25,61.15000153,4.978543392
KKVAPOW.NS,941,940,-0.106269926
JALAN.NS,7.650000095,7.550000191,-1.30718828
INNOVATIVE.NS,2.349999905,2.299999952,-2.127657632
MAHICKRA.NS,86.25,81.75,-5.217391304
