stock,Price at Start,Price at End,Percentage Change
MPTODAY.NS,55.84999847,43.20000076,-22.64995176
GOLDSTAR.NS,9.050000191,7.199999809,-20.44199273
MDL.NS,38,32,-15.78947368
SSINFRA.NS,6.849999905,5.800000191,-15.32846319
FELIX.NS,115,102.75,-10.65217391
MAHICKRA.NS,86.25,81.75,-5.217391304
INNOVATIVE.NS,2.349999905,2.299999952,-2.127657632
JALAN.NS,7.650000095,7.550000191,-1.30718828
KKVAPOW.NS,941,940,-0.106269926
RELIABLE.NS,58.25,61.15000153,4.978543392
